Repo Name,condition,weakness_family,count
llm-study26-10-pre,pre,Input validation & unsafe integration,1
llm-study26-10-pre,pre,"Logging, errors & information exposure",2
llm-study26-10-pre,pre,"Sensitive data, secrets & cryptography",1
llm-study26-10-pre,pre,"Session, request & browser trust boundary",1
llm-study26-11-post,post,"Authentication, credential policy & recovery",2
llm-study26-11-post,post,Availability & abuse resistance,1
llm-study26-11-post,post,"Sensitive data, secrets & cryptography",2
llm-study26-11-post,post,"Session, request & browser trust boundary",1
llm-study26-11-pre,pre,"Authentication, credential policy & recovery",2
llm-study26-11-pre,pre,Authorization & object access,2
llm-study26-11-pre,pre,Availability & abuse resistance,1
llm-study26-11-pre,pre,Configuration & debug surface,1
llm-study26-11-pre,pre,Input validation & unsafe integration,3
llm-study26-11-pre,pre,"Logging, errors & information exposure",3
llm-study26-11-pre,pre,"Sensitive data, secrets & cryptography",1
llm-study26-11-pre,pre,"Session, request & browser trust boundary",1
llm-study26-12-post,post,Availability & abuse resistance,1
llm-study26-12-post,post,"Sensitive data, secrets & cryptography",1
llm-study26-12-pre,pre,"Authentication, credential policy & recovery",2
llm-study26-12-pre,pre,Authorization & object access,3
llm-study26-12-pre,pre,Availability & abuse resistance,2
llm-study26-12-pre,pre,"Logging, errors & information exposure",3
llm-study26-12-pre,pre,"Session, request & browser trust boundary",2
