,Total,Weighted,Critical,High,Medium,Low
Pre-training,162,432,24,80,38,20
Post-training,111,267,5,54,33,19
Change,-31.48148148148148,-38.19444444444444,-79.16666666666666,-32.5,-13.157894736842104,-5.0
