Scheme,Median delta,Wilcoxon exact p,Rank-biserial
4/3/2/1,11.5,0.005859375,0.9272727272727272
10/5/2/1,22.0,0.00341796875,0.8974358974358975
1/1/1/1 (unweighted total),4.0,0.037109375,0.7636363636363637
