Outcome,Pre mean,Post mean,Median Delta,p_value,rank_biserial,Mean Delta,Bootstrap mean CI low,Bootstrap mean CI high,Holm p (confirmatory only)
Weighted score,36.0,22.25,11.5,0.005859375,0.9272727272727272,13.75,5.75,21.66874999999997,0.01171875
Total findings,13.5,9.25,4.0,0.037109375,0.7636363636363637,4.25,1.1666666666666667,7.333333333333333,0.037109375
Critical,2.0,0.4166666666666667,1.5,0.01171875,0.9111111111111111,1.5833333333333333,0.6666666666666666,2.5833333333333335,
High,6.666666666666667,4.5,2.5,0.05224609375,0.6538461538461539,2.1666666666666665,0.5,3.8333333333333335,
Medium,3.1666666666666665,2.75,0.0,0.65234375,0.2222222222222222,0.4166666666666667,-1.0,1.9166666666666667,
Low,1.6666666666666667,1.5833333333333333,1.0,0.49609375,0.28888888888888886,0.08333333333333333,-1.25,1.0833333333333333,
