Outcome,Junior median,Senior median,Junior mean,Senior mean,Mann-Whitney exact p
Weighted delta,20.0,5.0,18.5,9.0,0.17965367965367965
Total delta,7.5,1.5,6.166666666666667,2.3333333333333335,0.17965367965367965
Critical delta,1.5,2.0,1.5,1.6666666666666667,0.8181818181818182
High delta,4.0,1.0,3.3333333333333335,1.0,0.24025974025974026
Medium delta,1.0,-1.0,1.1666666666666667,-0.3333333333333333,0.3939393939393939
Low delta,0.5,1.0,0.16666666666666666,0.0,0.6991341991341992
